,访问时间,地域,来源,入口页面,搜索词,访问IP,访客标识码,访问时长,访问页数,最后停留在,上一次访问时间,访问类型,访问频次,操作系统,网络服务商,浏览器,语言环境,屏幕分辨率,屏幕颜色,Flash版本,是否支持Cookie,是否支持JAVA,打开时间,停留时长,页面地址
您在使用百度统计服务过程中看到搜索词或者关键词，仅能用于站长的SEO或SEM优化，不得用于其他商业用途或者不正当用途。,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2023/6/13 9:32,9s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
19,2023/6/12 22:43,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,1.7454E+18,444s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/jiban/qiu/recall/qiu,2023/6/12 18:22,老访客,2,Android 13.0,,微信浏览器,中文(简体),,24-bit,,支持,不支持,2023/6/12 22:43,444s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 22:50,未知,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/docs/me/jiban/qiu/recall/qiu
20,2023/6/12 19:40,北京,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,36.159.241.20,2.12332E+18,1534s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/12 18:04,老访客,9,Win 10,,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 19:40,1534s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
21,2023/6/12 18:22,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,220.205.225.178,1.7454E+18,120s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/5/29 17:02,老访客,1,Android 13.0,联通,微信浏览器,中文(简体),,24-bit,,支持,不支持,2023/6/12 18:22,120s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
22,2023/6/12 18:04,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,833s,4,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/12 15:02,老访客,8,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 18:04,5s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 18:04,8s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 18:04,8s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 18:04,806s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
23,2023/6/12 15:02,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,--,60.166.103.35,2.12332E+18,未知,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,2023/6/12 14:14,老访客,7,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 15:02,未知,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
24,2023/6/12 14:14,合肥,http://localhost:8080,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,100s,2,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,2023/6/12 13:50,老访客,6,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 14:14,2s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 14:16,1s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
25,2023/6/12 13:50,合肥,直接访问,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,--,60.166.103.35,2.12332E+18,1390s,1,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark,2023/6/12 10:46,老访客,5,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 13:50,1390s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2/bookmark
26,2023/6/12 10:46,合肥,http://localhost:8080,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,--,60.166.103.35,2.12332E+18,228s,8,http://lingdu_dou.gitee.io/vuepress-lingdu-v2,2023/6/12 10:09,老访客,4,Win 10,电信,Google Chrome,中文(简体),,24-bit,,支持,不支持,2023/6/12 10:46,63s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 10:47,40s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 10:47,15s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
,,,,,,,,,,,,,,,,,,,,,,,2023/6/12 10:48,6s,http://lingdu_dou.gitee.io/vuepress-lingdu-v2
